
,,,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
1,Kobe Bryant,LAL,$23500000,$25000000,,,,Bird Rights,$48500000
2,Amar'e Stoudemire,NYK,$23410988,,,,,Bird Rights,$23410988
3,Joe Johnson,BRK,$23180790,$24894863,,,,Bird Rights,$48075653
4,Carmelo Anthony,NYK,$22458000,$22875000,$24559380,$26243760,$27928140,Bird Rights,$96136140
5,Dwight Howard,HOU,$21436271,$22359364,$23282457,,,Cap Space,$43795635
6,Chris Bosh,MIA,$20644400,$22192730,$23741060,$25289390,$26837720,Bird Rights,$118705300
7,LeBron James,CLE,$20644400,$21573398,,,,Cap Space,$20644400
8,Chris Paul,LAC,$20068563,$21468696,$22868828,$24268960,,Bird Rights,$64406087
9,Deron Williams,BRK,$19754465,$21042800,$22331135,,,Bird Rights,$40797265
10,Rudy Gay,SAC,$19317325,,,,,Bird Rights,$19317325
11,Kevin Durant,OKC,$18995624,$20158622,,,,Bird Rights,$39154246
12,Derrick Rose,CHI,$18862875,$20093063,$21323250,,,Bird Rights,$60279188
13,Blake Griffin,LAC,$17674612,$18907725,$20140838,$21373950,,Bird Rights,$78097125
14,Zach Randolph,MEM,$16500000,$9638555,$10361445,,,Bird Rights,$36500000
15,LaMarcus Aldridge,POR,$16006000,,,,,Bird Rights,$15256000
16,Paul George,IND,$15925680,$17120106,$18314532,$19508958,$20703384,1st Round Pick,$70869276
17,Marc Gasol,MEM,$15829688,,,,,Bird Rights,$15829688
18,Brook Lopez,BRK,$15719063,$16744219,,,,Bird Rights,$15719063
19,Russell Westbrook,OKC,$15719062,$16744218,$17769374,,,Bird Rights,$50232654
20,Kevin Love,CLE,$15719062,$16744218,,,,Cap Space,$15719062
,,,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
21,David Lee,GSW,$15012000,$15493680,,,,Bird Rights,$30505680
22,Dwyane Wade,MIA,$15000000,$16125000,,,,Bird Rights,
23,Eric Gordon,NOP,$14898938,$15514031,,,,Bird Rights,$14898938
24,Roy Hibbert,IND,$14898938,$15514031,,,,Bird Rights,$14898938
25,John Wall,WAS,$14746000,$15851950,$16957900,$18063850,$19169800,1st Round Pick,$78782188
26,Gordon Hayward,UTA,$14746000,$15409570,$16073140,$16736710,,Bird Rights,$46228710
27,James Harden,HOU,$14728844,$15756438,$16784031,$17811625,,Bird Rights,$56175126
28,Chandler Parsons,DAL,$14700000,$15361500,$16023000,,,Cap Space,$30061500
29,Tyson Chandler,DAL,$14598888,,,,,Bird Rights,$14598888
30,Josh Smith,DET,$14000000,$14000000,$14000000,,,Cap Space,$42000000
31,DeMarcus Cousins,SAC,$13701250,$14728844,$15756438,$16784031,,1st Round Pick,$60970563
32,Al Jefferson,CHO,$13666667,$13833333,,,,Cap Space,$13666667
33,Carlos Boozer,CHI,$13550000,,,,,,
34,Nene Hilario,WAS,$13000000,$13000000,,,,Bird Rights,$26000000
35,Andrew Bogut,GSW,$12972973,$12000000,$11027027,,,Bird Rights,$36000000
36,Rajon Rondo,BOS,$12909091,,,,,Bird Rights,$12909091
37,Derrick Favors,UTA,$12833333,$11933333,$10983333,$11933333,,1st Round Pick,$46950000
38,Tony Parker,SAS,$12500000,$13437500,$14445313,$15453126,,Bird Rights,$55835939
39,Serge Ibaka,OKC,$12350000,$12350000,$12350000,,,Bird Rights,$36750000
40,Andre Iguodala,GSW,$12289544,$11710456,$11131368,,,Bird Rights,$35131368
,,,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
41,Joakim Noah,CHI,$12200000,$13400000,,,,Bird Rights,$25600000
42,Eric Bledsoe,PHO,$12173913,$13086957,$14000001,$14913045,$15826089,Bird Rights,$70000000
43,Nikola Pekovic,MIN,$12100000,$12100000,$12100000,$11600000,,Bird Rights,$47900000
44,Kyle Lowry,TOR,$12000000,$12000000,$12000000,$12000000,,Bird Rights,$36000000
